lokalizacja;nazwa;tagi;adres;url;phone;town;
50.033075, 19.896863;Al Vecchio Forno;pizzeria;Skalica 23 a;http://aldentebistro.pl/;12 376 77 92;1;
50.018641, 19.981256;Aldente;pizzeria;Spó³dzielców 3;http://aldentebistro.pl/;12 655 55 95;1;
50.007956, 20.018794;Artur - Hotel Artur;restauracja;Aleksandry 30;http://www.hotelartur.pl/Strony/Restauracja/Karta_menu/;12 651 06 00;1;
50.018248, 19.896385;Asiana;restauracja ;Szwai 16;http://kuchniaorientalnadragon.pl/;12 311 82 29;1;
50.084336, 19.928397;Bac Bo;restauracja, azjatycka;Rusznikarska-Deptak 4;https://www.facebook.com/barbacbo;508 074 177;1;
50.013334, 19.894624;Bak³a¿an;restauracja, pizzeria;Kolista 12;http://www.baklazan-krakow.pl/;532 222 442;1;
50.048256, 19.961340;Bal;kawiarnia;Œlusarska 9;https://www.facebook.com/balnazablociu;734 411 733;1;
50.064942, 19.931121;Banolli;pizza, restauracja;Karmelicka 22;http://banolli.pl;12 432 32 32;1;
50.073370, 19.980793;Banolli;pizza, restauracja;Janusza Meissnera 19;http://banolli.pl;12 417 19 19;1;
50.073733, 20.041916;Banolli;pizza, restauracja;os. Centrum B 8;http://banolli.pl;12 680 44 44;1;
50.037859, 20.027338;Banolli;pizza, restauracja;Christo Botewa 2G;http://banolli.pl;12 432 11 22;1;
50.008317, 19.948717;Banolli;pizza, restauracja;Porucznika Halszki 29;http://banolli.pl;12 654 44 44;1;
50.038625, 20.034547;Banolli;pizza, restauracja;Christo Botewa;http://banolli.pl;12 452 02 89;1;
50.018748, 19.896963;Banolli;pizza, restauracja;Chmieleniec 2B;http://banolli.pl;12 266 11 11;1;
50.045270, 19.947686;Bao-Nam;restauracja, azjatycka;Brodziñskiego 3;http://baonamkrakow.pl;;1;
50.0362263, 19.9378316;Bar Alabama;bar,przek¹ski;rondo Matecznego;http://www.hotdogi.info/;;1;
50.007875, 19.921675;Bar Kiemliczówka;bar;Zawi³a 8;;;1;
50.061547, 19.927510;Bar Pod Kopytkiem;bar;plac Sikorskiego 1;;;1;
50.045528, 19.982743;Bar Kormoran;bar;P³aszowska 65;http://barkormoran.eu;12 656 13 76;1;
50.032140, 19.948431;Bar Maestro;bar;Kamieñskiego 10;;603 588 604;1;
50.023641, 19.992221;"Bar Mleczny ""Zdrowie""";bar;Genera³a Jakuba Jasiñskiego 30;;12 658 24 49;1;
50.044899, 19.953067;Bar mleczny Krakus;bar;Limanowskiego 16;;12 656 68 83;1;
50.044594, 19.948432;Bar Mleczny Po³udniowy;bar;Kazimierza Brodziñskiego 2;;;1;
49.999958, 19.911506;Bar na Klinach;bar;Forteczna 51F;http://barnaklinach.pl;507 737 378;1;
50.031474, 19.920071;Bar Ruczaj;bar, restauracja;Grota-Roweckiego 9;;12 269 32 51;1;
50.062827, 19.934311;Multi Qlti Tap Bar;bar,pub;Szewska 21;https://www.facebook.com/multiqlti;12 341 58 47;1;
50.037342, 19.940087;Belagio cafe & grill;restauracja;Kalwaryjska 96;http://belagio.pl;534 399 929;1;
50.067066, 19.950107;Bistro Palce Lizaæ;restauracja;Topolowa 3;http://palcelizac.pl;;1;
50.046276, 19.949548;Bistroteka;restauracja;Nadwiœlañska 3;;;1;
50.046769, 19.950518;Boulevard 11 Bistro & Wine;restauracja;bulwar Podolski;;602 215 966;1;
50.028576, 19.949145;Burger King;restauracja, fast food;Kamieñskiego 11;http://burgerking.pl;71 386 16 34;1;
50.066699, 19.945395;Burger King;restauracja, fast food;Galeria Krakowska, Pawia 5;http://burgerking.pl;71 386 14 88;1;
50.042959, 19.947239;Cafe Cinema Paradiso;kino, bar, kawiarnia;plac Niepodleg³oœci 1;https://www.facebook.com/Cinema.Paradiso.Krakow;29 636 96 12;1;
50.012100, 19.977696;Cafe Kontynenty;kawiarnia;Adama Bochenka 16a;http://cafekontynenty.pl;603 868 918;1;
50.051048, 19.931627;Cafe Manggha;restauracja;Marii Konopnickiej 26;http://cafemanggha.com.pl;691 777 766;1;
50.047642, 19.961572;Cafe Mocak;muzeum, kawiarnia;Lipowa 4;http://mocak.pl;12 263 40 00;1;
50.045262, 19.948172;Cafe Rêkawka;kawiarnia;Kazimierza Brodziñskiego 4B;;12 296 20 02;1;
50.067502, 19.934437;Calavera;restauracja, meksykañska;Biskupia 4/1;http://calavera.pl;537 035 285;1;
50.067886, 19.918644;Capri New;pizzeria;Chopina 33;http://caprinew.pl;12 630 99 99;1;
50.045361, 19.948288;Pizzeria Capri New;pizzeria;Kazimierza Brodziñskiego 6;http://caprinew.pl;505 771 807;1;
50.046018, 19.949170;Cawa;kawiarnia;Nadwiœlañska 1;http://cawacafe.pl;12 656 74 56;1;
50.014328, 19.927917;Cesare Ristorante;restauracja;Zakopiañska 105;http://cesareristorante.pl;12 268 02 02;1;
50.045041, 19.948427;Chicken Cafe;restauracja;Kazimierza Brodziñskiego 2;;536 582 059;1;
50.045343, 19.952398;Chili Chili Pizza;pizzeria;Krakusa 13;http://chili-chili.pl;510 510 924;1;
50.044386, 19.952033;Churrasco;restauracja;Krakusa 11;http://churrasco.com.pl;791 001 522;1;
50.095607, 19.962536;Coffee Cargo;kawiarnia;aleja 29 Listopada 155A;http://coffeeproficiency.com;792 646 171;1;
50.033920, 19.873750;Czarci Grill;restauracja;Tyniecka 118 H;http://czarcigrillpizzamefisto.pl;12 267 90 54;1;
50.028539, 19.917201;Da Grasso;pizzeria;Zygmunta Mi³kowskiego 21;http://dagrasso.pl;12 266 66 26;1;
50.055686, 19.946507;Da Grasso;pizzeria;Starowiœlna 32;http://dagrasso.pl;504 915 663;1;
50.067661, 19.915426;Da Grasso;pizzeria;Czarnowiejska 97;http://dagrasso.pl;504 908 800;1;
50.088578, 19.934239;Da Grasso;pizzeria;Genera³a Augusta Fieldorfa-Nila 17;http://dagrasso.pl;12 622 71 80;1;
50.081150, 20.014853;Da Grasso;pizzeria;Os. Dywizjonu 303 56 c;http://dagrasso.pl;12 640 91 47;1;
50.045159, 19.952094;Delecta;restauracja, w³oska;Boles³awa Limanowskiego 11;http://restauracja-delecta.pl;12 423 50 01;1;
50.027787, 19.950978;Dominium;pizzeria;Kamieñskiego 11;http://gustodominium.pl;22 210 10 10;1;
50.061034, 19.936186;Dominium;pizzeria;Rynek G³ówny 22;http://gustodominium.pl;22 210 10 10;1;
50.066791, 19.945370;Dominium;pizzeria;Pawia 5;http://gustodominium.pl;22 210 10 10;1;
50.087502, 19.981505;Dominium;pizzeria;Aleja Genera³a Tadeusza Bora-Komorowskiego 37;http://gustodominium.pl;22 210 10 10;1;
50.092236, 19.955842;Domino`s Pizza;pizzeria;Bociana 3;http://dominospizza.pl;12 334 90 04;1;
50.077206, 20.017010;Domino`s Pizza;pizzeria;Medweckiego 2;http://dominospizza.pl;13 334 90 04;1;
50.078353, 19.879518;Domino`s Pizza;pizzeria;Samuela Bogumi³a Lindego 1;http://dominospizza.pl;12 334 90 02;1;
50.025947, 19.904449;Easy Rider;bar;Zachodnia 27;http://easyriderbar.pl;12 257 00 21;1;
50.048881, 19.944869;El Toro;restauracja, hiszpañska;Wolnica 9;http://eltoro-restauracja.pl;12 421 47 33;1;
50.008761, 19.961442;Extrimm;restauracja;Turniejowa 73F/30;http://extrimm.net;12 659 94 94;1;
50.051184, 19.946794;Fabryka Pizzy;pizzeria;Józefa 34;http://fabrykapizzy.pl;12 433 80 80;1;
50.063306, 19.937181;Fabryka Pizzy;pizzeria;S³awkowska 3;http://fabrykapizzy.pl;12 422 32 00;1;
50.067107, 19.955549;Fabryka Pizzy;pizzeria;Aleksandra Lubomirskiego 41;http://fabrykapizzy.pl;12 432 01 01;1;
50.077958, 19.891863;Fabryka Pizzy;pizzeria;Stañczyka 14;http://fabrykapizzy.pl;12 445 64 25;1;
50.017830, 19.894907;Fabryka Pizzy;pizzeria;Lubostroñ 22G/5;http://fabrykapizzy.pl;12 354 04 04;1;
50.006676, 19.967337;Fabryka Pizzy;pizzeria;Kijanki 2;http://fabrykapizzy.pl;502 281 664;1;
50.046254, 19.954787;Foodology Panini Bar;bar, kanapki;plac Bohaterów Getta 16;https://www.facebook.com/foodology.panini;12 346 19 21;1;
50.045268, 19.936003;Forum Przestrzenie;kawiarnia;Marii Konopnickiej 28;http://forumprzestrzenie.com;515 544 097;1;
50.046280, 19.955707;Galicja po kolei;restauracja;Lwowska 4;http://galicjapokolei.pl;12 296 24 13;1;
50.033608, 19.936767;Galicya - Hotel Best Western;hotel, restauracja;Rzemieœlnicza 4;http://bwkrakow.pl;12 269 07 72;1;
